GeneSymbol,GeneName,logFC,AveExpr,t.stat,p.value,adj.p.val,Regulation
LOC107987192,uncharacterized LOC107987192,0.0351158677806572,-2.80669878554177,0.479310081285149,0.63178322037622,0.755758431671506,Up
CDH13-AS2,CDH13 antisense RNA 2,0.030274143310404,-3.35734686159365,0.444031180936266,0.657079778988935,0.773771598075047,Up
KL,klotho,-0.0618418663787886,1.78575112413395,-1.16031865807692,0.246091310135678,0.384222499123809,Down
MIR219A1,microRNA 219a-1,0.0311609888762686,-3.59054109398091,0.483469759491801,0.628828043417315,0.753954971003465,Up
LOC107986107,,0.0362833017332527,-3.6003712557325,0.487748158533175,0.625794720178872,0.75174022702838,Up
HECTD1,HECT domain E3 ubiquitin protein ligase 1,-0.0220004782171712,8.18256561257468,-1.56408557690967,0.117994214877154,0.212168383867324,Down
LOC100128993,uncharacterized LOC100128993,-0.0449668841986111,-4.06114209697229,-0.623960464554652,0.532742043456695,0.678572985358014,Down
LOC105371695,uncharacterized LOC105371695,-0.0473402255854503,-5.50724295324539,-1.11039566705287,0.266994558834821,0.409088982010191,Down
PWRN3,Prader-Willi region non-protein coding RNA 3,0.0658262428010039,-4.0981955113216,0.656215084635533,0.511779620297886,0.660997616323336,Up
CCDC166,coiled-coil domain containing 166,-0.0462608838094772,-5.509921817076,-1.10955168021521,0.267358147164448,0.409454879341421,Down
MIR378D2,microRNA 378d-2,-0.0541587592701586,-4.6656194576927,-0.840601723500737,0.400696051797347,0.556693519708289,Down
LOC107984245,uncharacterized LOC107984245,-0.0347803552576945,-3.05268396586271,-0.445790039369017,0.655808923994815,0.772939393313773,Down
COQ3,"coenzyme Q3, methyltransferase",0.0373502302958846,2.76368859354175,1.25463294315646,0.20979434372714,0.338546046416126,Up
STEAP2,STEAP2 metalloreductase,0.0461581169667358,5.19413168885647,1.42619806746265,0.154005262561694,0.263771692850338,Up
TAS2R38,taste 2 receptor member 38,-0.0422431905879905,-3.12402378248003,-0.43969147956298,0.660219652794107,0.775931502161555,Down
LINC01633,long intergenic non-protein coding RNA 1633,0.0319365307931264,-5.70704994398846,1.15578026102284,0.247942726113976,0.386576629715459,Up
SNORA74C-2,"small nucleolar RNA, H/ACA box 74C-2",0.0283769285515751,-3.23777853319643,0.434212780771042,0.664192180267553,0.779223220353098,Up
LOC105372738,uncharacterized LOC105372738,0.0552401798108247,-4.73106735321107,0.876576589771803,0.380847575346557,0.536385082153445,Up
NCBP2-AS1,NCBP2 antisense RNA 1,0.0226883388610578,0.863819273843783,1.04291137983467,0.29714608433179,0.444359280568477,Up
LOC107985744,uncharacterized LOC107985744,0.056250791396482,-4.52195529975746,0.801924180497321,0.422715294346351,0.578307186094848,Up
SNORD114-11,"small nucleolar RNA, C/D box 114-11",-0.0549530976749943,-5.16875136676852,-1.0062395449915,0.314451726632167,0.464540076081197,Down
LOC105372120,uncharacterized LOC105372120,0.0392238221081883,-5.63619890656192,1.14353560578801,0.252986470401606,0.392704176479448,Up
RDM1P5,RDM1 pseudogene 5,0.0320720319542118,-1.89595179948759,0.633678950756427,0.526380475064888,0.673449575532216,Up
FAM209A,family with sequence similarity 209 member A,0.0252026867409325,-3.02849757223939,0.442911373256932,0.657889408598287,0.774279025404733,Up
LOC157273,uncharacterized LOC157273,-0.0537983527578447,-5.33016304808514,-1.05680316674883,0.290760149582668,0.436900272847438,Down
TRN-GTT11-2,tRNA-Asn (anticodon GTT) 11-2,-0.0460912807560041,-4.3867587362411,-0.737960703499273,0.460645994607472,0.613857456672774,Down
LOC105378599,uncharacterized LOC105378599,0.0314188292673938,-5.71718062351572,1.15651797619636,0.247641116714067,0.386198131083731,Up
SRSF1,serine and arginine rich splicing factor 1,0.0248305631805901,8.03287155761431,1.55611790665146,0.119876815669219,0.21480975382121,Up
RBIS,ribosomal biogenesis factor,-0.031875866430087,4.64518086165281,-1.39623909204393,0.162835196831215,0.276168269389927,Down
SNORD135,"small nucleolar RNA, C/D box 135",0.0532986807137264,-4.70008137170763,0.866010139050861,0.386613776945311,0.542565545691018,Up
LOC107985299,,-0.0536557144935822,-5.16181665188771,-1.00689778300804,0.314135368735978,0.464142374459582,Down
LRRC74B,leucine rich repeat containing 74B,-0.0292757933216558,-3.41536199883485,-0.440698466441938,0.659490538274733,0.775442820199532,Down
APC,APC regulator of WNT signaling pathway,-0.0292704578479892,6.55175279075863,-1.49458741411996,0.13521833404406,0.237154564220699,Down
HEATR9,HEAT repeat containing 9,0.0353060628026557,-1.93888277622841,0.624166218542236,0.532606957756818,0.678527616430454,Up
LOC105372594,uncharacterized LOC105372594,0.0363713958282338,-5.68219434726686,1.15043606310588,0.250135346390472,0.389224635426643,Up
HSFX3,"heat shock transcription factor family, X-linked member 3",0.0172118183146255,-0.384291234698578,0.869438954944098,0.384736824969284,0.540470824830201,Up
LOC105372960,uncharacterized LOC105372960,-0.034676433407977,-1.83895829814576,-0.646648166039595,0.517951951881509,0.66615090336054,Down
LOC105373939,uncharacterized LOC105373939,0.0372836010280488,-1.58720868854536,0.683106027485228,0.49463824163843,0.645292893441832,Up
CYP26C1,cytochrome P450 family 26 subfamily C member 1,0.031342366635736,-2.65998731282974,0.496564547046588,0.619564024823049,0.747402133556949,Up
LOC105372031,uncharacterized LOC105372031,-0.0446579549510741,-1.75910222250789,-0.659330455406873,0.509777987544403,0.659342334698081,Down
MIR378I,microRNA 378i,0.0445431658563533,-3.31850240463819,0.432569399101936,0.665385623243356,0.780109717527555,Up
ETDA,embryonic testis differentiation homolog A,0.0256241923142522,-3.14613613912071,0.431131154158107,0.66643079036913,0.780763991006984,Up
TTTY7B,"testis expressed transcript, Y-linked 7B",0.0595292424821432,-4.53871123786962,0.809425452538905,0.418390205253871,0.573831134057441,Up
SLC8A1-AS1,SLC8A1 antisense RNA 1,0.0538445934899327,-1.40335549966122,0.709756075224993,0.477958304994372,0.629939959079474,Up
IGHVIII-16-1,immunoglobulin heavy variable (III)-16-1 (pseudogene),-0.0375986622769566,-5.61622106624941,-1.13291681707015,0.257418059512694,0.397805867793244,Down
MRPL20-AS1,MRPL20 antisense RNA 1,-0.0230782487910061,4.14586718253195,-1.36383900339474,0.172809096965268,0.289665446430734,Down
NDFIP2-AS1,NDFIP2 antisense RNA 1,-0.0298405117869502,-3.47856790105179,-0.446071227944703,0.655605844808421,0.772861976683324,Down
CIBAR1-DT,CIBAR1 divergent transcript,0.0400080636768986,-1.86753761489762,0.634214537854878,0.526031020817424,0.673128298115063,Up
MIR582,microRNA 582,-0.0564245787750793,-4.92868561060975,-0.927484590987192,0.353814160942825,0.507736666834968,Down
LOC101929031,uncharacterized LOC101929031,0.0387168816960053,-5.57399320146679,1.12893960437291,0.259091684603509,0.399670695484909,Up
LOC107987004,coiled-coil domain-containing protein 86-like,-0.0506273868910944,-4.87444458508502,-0.905868626001899,0.365141087891011,0.519898588927733,Down
LOC105378647,uncharacterized LOC105378647,0.0317059588408327,-2.70882821350751,0.485061112444967,0.627699060880176,0.75319102874705,Up
LINC03019,long intergenic non-protein coding RNA 3019,0.0464519995134581,-5.42621382891038,1.09640263391115,0.273066762834272,0.416329165956473,Up
RABGAP1L-DT,RABGAP1L divergent transcript,-0.0456727965904395,-2.85352640598816,-0.464414160601244,0.642413908863357,0.763643473974446,Down
CTAGE4,CTAGE family member 4,0.0488230702957132,2.89476080396938,1.26343138384848,0.206617315103431,0.334351021226841,Up
LINC01298,long intergenic non-protein coding RNA 1298,0.0435788552455456,-5.53062733782229,1.11887978214938,0.263358520908752,0.4047558047713,Up
LOC107986133,uncharacterized LOC107986133,-0.0275334351424384,-3.57412366153313,-0.463771894016428,0.642873945311562,0.763875556102165,Down
